ID,MAPE,MAE,RMSE,MASE,scaler,scale_level
0,731197491200.0,1.0324771404266357,1.2917944424505086,0.41651390707138986,,
1,731197491200.0,1.0324771404266357,1.2917944424505086,0.41651390707138986,,
10,731197491200.0,10.259332656860352,12.850720669616768,4.138740279603937,,
2,731197491200.0,1.0324771404266357,1.2917944424505086,0.41651390707138986,,
3,731197491200.0,1.0324771404266357,1.2917944424505086,0.41651390707138986,,
4,731197491200.0,1.0324771404266357,1.2917944424505086,0.41651390707138986,,
5,731197491200.0,1.0324771404266357,1.2917944424505086,0.41651390707138986,,
6,731197491200.0,1.0324771404266357,1.2917944424505086,0.41651390707138986,,
7,731197491200.0,1.0324771404266357,1.2917944424505086,0.41651390707138986,,
8,731197491200.0,1.0324771404266357,1.2917944424505086,0.41651390707138986,,
9,731197491200.0,1.0324771404266357,1.2917944424505086,0.41651390707138986,,
ALL,731197491200.0,1.8712821873751553,2.3426059176474414,0.7548981227561669,,
0,16493410713600.0,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
1,16493410713600.0,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
10,169.77282762527466,11.401183128356934,13.20420495305881,4.600112509403745,"MinMaxScaler(feature_range=(0.1, 1))",local
2,16493410713600.0,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
3,16493410713600.0,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
4,16493410713600.0,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
5,16493410713600.0,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
6,16493410713600.0,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
7,16493410713600.0,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
8,16493410713600.0,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
9,16493410713600.0,1.1390122175216675,1.3169622859985834,0.4595649671789999,"MinMaxScaler(feature_range=(0.1, 1))",local
ALL,14994009739651.799,2.071936845779419,2.397620710276786,0.8359783801085222,"MinMaxScaler(feature_range=(0.1, 1))",local
0,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
1,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
10,738189465600.0,10.259331703186035,12.850720669616768,4.138739894880053,StandardScaler(),local
2,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
3,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
4,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
5,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
6,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
7,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
8,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
9,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),local
ALL,731825817600.0,1.8712822090495715,2.3426061693254163,0.7548981314998915,StandardScaler(),local
0,733795993600.0,1.0324770212173462,1.2917945347324393,0.4165138589809043,"MinMaxScaler(feature_range=(0.1, 1))",global
1,733795993600.0,1.0324770212173462,1.2917945347324393,0.4165138589809043,"MinMaxScaler(feature_range=(0.1, 1))",global
10,733795993600.0,10.259332656860352,12.850720669616768,4.138740279603937,"MinMaxScaler(feature_range=(0.1, 1))",global
2,733795993600.0,1.0324770212173462,1.2917945347324393,0.4165138589809043,"MinMaxScaler(feature_range=(0.1, 1))",global
3,733795993600.0,1.0324770212173462,1.2917945347324393,0.4165138589809043,"MinMaxScaler(feature_range=(0.1, 1))",global
4,733795993600.0,1.0324770212173462,1.2917945347324393,0.4165138589809043,"MinMaxScaler(feature_range=(0.1, 1))",global
5,733795993600.0,1.0324770212173462,1.2917945347324393,0.4165138589809043,"MinMaxScaler(feature_range=(0.1, 1))",global
6,733795993600.0,1.0324770212173462,1.2917945347324393,0.4165138589809043,"MinMaxScaler(feature_range=(0.1, 1))",global
7,733795993600.0,1.0324770212173462,1.2917945347324393,0.4165138589809043,"MinMaxScaler(feature_range=(0.1, 1))",global
8,733795993600.0,1.0324770212173462,1.2917945347324393,0.4165138589809043,"MinMaxScaler(feature_range=(0.1, 1))",global
9,733795993600.0,1.0324770212173462,1.2917945347324393,0.4165138589809043,"MinMaxScaler(feature_range=(0.1, 1))",global
ALL,733795993600.0,1.871282079003074,2.3426060015401053,0.7548980790375436,"MinMaxScaler(feature_range=(0.1, 1))",global
0,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),global
1,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),global
10,731189452800.0,10.259331703186035,12.850720669616768,4.138739894880053,StandardScaler(),global
2,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),global
3,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),global
4,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),global
5,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),global
6,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),global
7,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),global
8,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),global
9,731189452800.0,1.0324772596359253,1.291794719296281,0.41651395516187534,StandardScaler(),global
ALL,731189452800.0,1.8712822090495715,2.3426061693254163,0.7548981314998915,StandardScaler(),global
